beta0,beta1,y_p
218,-3.728,182.8
223.6,-4.781,255.5
219.1,-3.384,184.4
237,-2.38,205.9
222.9,-2.315,195.3
221.8,-3.399,174
211.7,-2.925,122.8
223.7,-3.405,154
213.9,-2.528,40.47
204.2,-3.725,187.5
219.7,-2.389,135.5
217.1,-3.653,106.3
213.4,-3.467,157.8
219.8,-2.834,157.7
226.9,-3.989,200.4
225.2,-3.627,151.7
219.6,-3.409,146
221.5,-3.361,152.3
224.4,-2.858,104.3
219.6,-3.102,168.9
231,-2.574,143.5
218.6,-3.372,147.3
226.8,-3.26,216
219.8,-3.256,154.4
211.2,-3.369,121.3
226.4,-2.946,191.8
223,-2.905,195
220.1,-4.062,90.9
227.4,-3.247,163.9
211.2,-4.888,125.5
208.9,-3.029,189.2
209.5,-3.494,163.4
215.5,-3.328,155.4
207,-3.235,113.2
225.9,-2.761,160.4
222.5,-3.22,152.5
223.4,-3.484,168.1
216.4,-2.696,146.9
221.3,-2.933,119.4
223.7,-3.657,167.7
220.5,-4.04,134.7
218.7,-3.716,137.7
215.9,-3.096,147.8
224.1,-2.943,190.4
217.6,-3.404,141.6
222.3,-3.061,129.6
219.9,-2.933,155.3
222.8,-3.031,158.8
210.3,-2.147,231.9
225.5,-3.092,179.1
218.7,-2.858,194.5
224.4,-2.907,126.9
225.4,-3.785,123.6
211.2,-3.404,93.84
218.9,-3.213,113.2
221.5,-3.677,121.9
215.9,-2.605,136
223,-2.682,180.1
210.2,-3.192,109.7
218.9,-3.668,107.2
228.5,-3.272,206.4
218.8,-2.449,143.5
218.4,-3.143,136.1
221.8,-2.168,164.5
213.3,-2.974,176.6
218.8,-3.177,161.5
227.5,-2.992,158.8
219.3,-4.13,127.1
227,-2.401,221.3
212.5,-3.267,154.3
220.6,-4.058,113.1
221.5,-2.383,201.4
217.7,-3.462,156.3
214,-3.508,114.5
224.5,-3.983,178.1
218.6,-3.171,118.5
216.1,-4.236,137.7
217.8,-4.214,159.5
220,-3.607,167.5
219.2,-3.625,189.4
215.8,-2.475,186.2
211.6,-3.701,158.2
215.9,-3.32,148.7
225.5,-2.696,142.3
225.1,-3.658,149.9
224.4,-3.59,180.3
214.8,-3.317,164.5
223.6,-2.198,178.3
226.2,-3.138,173.3
221.2,-3.493,150.8
217.5,-2.936,187
225.9,-3.978,158.6
220.5,-3.922,85.14
212.3,-3.349,116.5
222.4,-3.367,140.2
227.6,-2.975,155.9
226,-3.129,172.7
226.5,-3.189,136.7
218.6,-2.937,134.1
216.2,-3.218,134.5
220.7,-3.585,158.7
220.7,-2.573,143
215.1,-3.279,133
219.7,-3.854,154.7
221.2,-3.839,121.5
225.7,-4.398,149.6
216.3,-3.924,131.4
216.9,-2.922,168.3
230.8,-2.234,180.5
225.1,-3.341,218
218.8,-3.126,117.3
220.1,-3.325,169.4
217.2,-3.493,185.7
220.8,-2.662,130
222.3,-4.036,199.2
