beta0,beta1,yp
223.1,-2.32,150.9
225.1,-3.882,102.2
213.8,-3.519,152.3
222.9,-3.791,164.7
219.3,-3.612,150.6
218.7,-3.805,103.1
220.7,-4.39,119.6
211.3,-3.756,157.4
224.3,-3.99,134.9
214.8,-3.996,139.3
229,-2.643,174.4
222.5,-3.198,132.5
219.8,-2.948,131.8
227.4,-3.087,149.8
225.8,-2.932,163.2
221.8,-4.107,179.8
223.5,-3.325,127.5
214.5,-3.286,164.9
227.8,-3.023,180.1
223.5,-3.399,130.6
221.5,-3.514,117.4
220.2,-3.262,178.3
225.1,-3.561,141.1
220.2,-2.549,181.4
217.5,-2.796,92.59
221.7,-3.503,127.3
222.9,-3.075,130.6
222,-3.387,180.4
224.9,-3.763,150.4
220.9,-3.17,121.8
226.5,-3.606,162.6
228,-2.922,187.3
224.1,-2.541,167.6
220,-3.539,131.9
219,-3.641,198.6
212.3,-3.761,129.2
220.3,-3.914,119.4
222.6,-3.056,130.7
228.4,-1.972,191
221.8,-3.928,127
223.6,-4.209,184.4
213.6,-4.23,129.1
227.2,-3.104,144.6
218,-3.001,145
220,-3.385,165.6
219.9,-3.201,156.7
223,-2.706,139.4
221.3,-3.052,128.3
224.6,-3.733,161.3
222.2,-2.803,148.4
227.8,-4.702,90.46
222.6,-2.914,129.1
225.7,-3.62,121.1
229.1,-3.219,172.5
227.2,-3.696,171.2
215.2,-2.586,202.1
212.7,-3.134,144.2
217.5,-4.013,126.6
223.7,-3.509,165.3
221.8,-3.386,152.3
227.8,-2.889,180.7
217.8,-3.29,170.1
217.6,-3.452,133
222.6,-2.772,115.3
221.9,-3.068,187.9
223.1,-3.151,204.4
223.4,-3.478,177.4
232.8,-2.944,128
214.3,-3.66,144.8
218.5,-3.52,133.9
224.4,-2.96,125.2
229.1,-3.495,120.1
217.3,-3.429,146.2
215.2,-2.485,166.6
226.9,-3.151,96.68
224.9,-3.361,162
221.2,-3.375,185.7
218.7,-3.782,83.91
214.2,-2.751,133.8
230.9,-3.871,157.1
227.4,-2.749,207.5
216.2,-2.749,155.8
226.4,-3.237,178.5
214.5,-2.764,194.2
218.9,-3.243,145.8
226.5,-3.016,153.1
213,-3.343,106.3
224.6,-3.588,183.9
221.9,-3.637,166.2
226.3,-3.766,116.3
231.1,-2.926,188.5
219.3,-3.08,187.3
227.7,-3.302,142.1
217.6,-2.393,256.5
223.1,-3.251,123.5
220.6,-3.054,151
220.3,-3.588,113.8
226.5,-3.118,212.4
219.9,-2.757,161.5
217.9,-2.101,154.5
222.8,-2.609,211
229.7,-3.371,180.6
225.5,-2.813,127.5
231.8,-3.233,142.6
227.7,-2.977,145.4
227.2,-3.454,140.3
221.5,-3.101,168.8
223.3,-3.151,152.3
221,-2.788,100.4
214.1,-3.28,154.3
221.5,-2.551,186.7
226.7,-4.039,155.8
212,-3.933,87.32
234.1,-3.182,159.7
224.5,-3.721,99.16
226.4,-3.364,178.2
212.2,-3.888,99.34
218.2,-3.918,171.6
221.9,-2.981,186.5
228.4,-3.909,161.4
224.8,-3.849,148.6
217.5,-2.87,170.7
224.5,-3.261,195.4
216.5,-3.603,204.1
224.5,-4.453,98.53
223.6,-3.107,176.8
227.2,-3.686,166.5
217.4,-2.585,159.2
226,-3.325,183.5
216.2,-3.4,166.5
214.1,-3.253,109.4
229.5,-3.137,137.4
220.9,-3.376,133.1
224.1,-3.305,124.1
223.5,-3.66,126
225.3,-4.647,107.1
214.1,-2.65,154
216.4,-2.364,176
227.8,-4.133,102.9
212.3,-3.781,89.05
216.5,-2.906,132.5
226.3,-3.689,125.7
224.6,-3.472,148.7
