beta0,beta1,yp
223.3,-2.776,190
219.5,-2.756,204.5
222.8,-3.265,175.8
230.7,-3.674,146.6
220.3,-3.001,173.2
221.8,-4.165,166.7
231.2,-3.461,148.1
209.9,-3.512,154.2
220.7,-2.09,136.3
218.1,-3.542,115.5
221.4,-2.884,185.5
215.3,-2.401,173.6
214.1,-3.487,164.8
221.3,-4.193,172
215.9,-3.751,144.8
223.6,-2.91,149.2
214.2,-3.389,189.5
215,-2.615,129.5
214.9,-2.76,137.2
217.1,-2.299,66.78
217.7,-2.499,188.9
228.3,-3.726,135
223.4,-4.188,157.9
211.9,-3.046,151.3
226.8,-2.495,156.4
218.8,-2.698,116.8
221.2,-3.234,177.1
221.6,-2.593,172.6
223.8,-3.338,165.1
213.1,-3.556,185.7
221.1,-2.562,196.1
223.4,-3.571,126.3
217.5,-3.194,183.1
218.3,-3.736,175.1
218,-2.813,201.1
227,-3.056,156.8
224.4,-3.813,160.9
225,-2.551,171.3
218.2,-3.053,162.4
220,-3.949,196
219,-2.714,187.2
221.8,-2.844,140.4
224.4,-2.996,158.3
214.7,-3.369,107.3
220.7,-2.309,183.8
214.2,-2.756,176.2
230.2,-3.216,140.4
223.9,-2.618,119.2
217.7,-3.108,144.1
209,-3.776,137.7
220.7,-4.635,113.6
218.1,-3.562,143.9
222.7,-3.308,232.2
225,-3.453,107
216.6,-1.963,219.8
217.8,-4.035,132.1
222.3,-3.161,146.8
210.3,-3.421,107.6
227.3,-4.019,103.1
230.3,-3.33,161.9
216.8,-2.191,185.2
212.1,-2.263,177.8
215.2,-4.028,123.6
223.1,-3.818,159.8
218.9,-4.795,130
218.6,-3.23,136.5
213.8,-3.808,167.4
233,-3.988,151.6
216.6,-3.315,139.1
215.9,-3.577,165.9
215.3,-2.936,143
226.8,-4.128,93.62
220.4,-3.522,149.2
222.8,-3.249,187.3
231.2,-3.77,155.3
222.3,-2.577,169.8
215,-3.938,133.8
214.5,-3.834,131.9
218.2,-3.669,158.8
219.2,-3.779,162.8
225.8,-3.195,165.7
224.9,-3.308,184.2
223.5,-2.098,227
219.5,-3.102,146.5
220.5,-3.133,189.4
220.8,-3.653,90.23
222.7,-3.348,177.7
217.7,-3.568,172.8
214.8,-3.341,120.1
219.6,-2.868,132.7
225.8,-3.414,120.1
226.2,-3.532,143
